"id","station_name","state","latitude","longitude","ev_network","funding_sources"
"102215","Salisbury, MD - Tesla Supercharger","MD","38.401655","-75.564867","Tesla","NEVI"
"102308","Santa Rosa, NM - Tesla Supercharger","NM","34.947081","-104.648031","Tesla","NEVI"
"102398","Somerset, PA - Tesla Supercharger","PA","40.01754","-79.077118","Tesla","NEVI"
"149287","Albert Lea, MN - Happy Trails Lane - Tesla Supercharger","MN","43.657526","-93.318249","Tesla","NEVI"
"224992","San Diego, CA - Camino De La Plaza - Tesla Supercharger","CA","32.545149","-117.040075","Tesla","NEVI"
"279445","EVolve NY Richmondville","NY","42.64189","-74.53896","Electrify America","NEVI"
"311313","EMLENTON TRUCK EMLENTON PL1","PA","41.175125","-79.739258","ChargePoint Network","NEVI"
"311314","EMLENTON TRUCK EMLENTON PL2","PA","41.175141","-79.739391","ChargePoint Network","NEVI"
"316283","EVolve NY North Hudson","NY","43.95119","-73.73324","Electrify America","NEVI"
"320464","EVolve NY Kingston","NY","41.93691","-74.02619","Electrify America","NEVI"
"322368","Pilot Travel Center 454","OH","39.9595461","-83.3692316","eVgo Network","NEVI"
"323404","Pilot Travel Center 370","PA","41.314076","-75.755648","eVgo Network","NEVI"
"329766","Rockland, ME - Tesla Supercharger","ME","44.116865","-69.105492","Tesla","NEVI"
"329935","Maui NEVI Site #1, Kahului Park & Ride (1017-009)","HI","20.875253","-156.46186","EV Connect","NEVI"
"347151","RIOER NEVI DCFC 1","RI","41.697366","-71.474568","ChargePoint Network","NEVI"
"347154","RIOER NEVI DCFC 2","RI","41.697364","-71.474397","ChargePoint Network","NEVI"
"347416","EMLENTON TRUCK EMLENTON PL3","PA","41.175038","-79.739669","ChargePoint Network","NEVI"
"347668","Pilot Travel Center 455","OH","40.3712024","-82.8309515","eVgo Network","NEVI"
"348135","RMP Moab (Moab, UT)","UT","38.60235","-109.57585","Electrify America","NEVI"
"348926","RI OER ASHAWAY NEVIDC2","RI","41.450441","-71.785795","ChargePoint Network","NEVI"
"348931","RI OER ASHAWAY NEVIDC1","RI","41.450481","-71.785792","ChargePoint Network","NEVI"
"349147","Casey's #3535 - Cridersville","OH","40.6542681","-84.1342305","FCN","NEVI"
"349994","Dollar General - Byesville","OH","39.9699006","-81.5340577","FCN","NEVI"
"350558","Ardsley Service Area","NY","40.98499","-73.85296","APPLEGREEN","NEVI"
"354301","Pilot Travel Center 15","OH","41.724512","-83.508371","eVgo Network","NEVI"
"354302","Flying J 695","OH","40.832697","-83.965987","eVgo Network","NEVI"
"356066","Aston, PA - Tesla Supercharger","PA","39.843257","-75.425968","Tesla","NEVI"
"356074","CircleK - Richmond, KY","KY","37.73568","-84.32773","CIRCLE_K","NEVI"
"357686","Augusta, ME - Civic Center Drive - Tesla Supercharger","ME","44.34872","-69.79546","Tesla","NEVI"
"360590","EVolve NY Churchville","NY","43.10348","-77.88358","Electrify America","NEVI"
"361200","Oahu NEVI Site #1, Aloha Tower (1017-011)","HI","21.305495","-157.864057","EV Connect","NEVI"
"367758","Pilot Travel Center 286","OH","39.83162","-84.63008","eVgo Network","NEVI"
"367762","Pilot Travel Center 469","OH","40.750023","-81.403825","eVgo Network","NEVI"
"367820","Flying J 694","OH","41.78887","-80.855553","eVgo Network","NEVI"
"371375","Pilot Travel Center 360","OH","41.13724","-83.66061","eVgo Network","NEVI"
"371377","Pilot Flying J Store 287","OH","40.999223","-81.997734","eVgo Network","NEVI"
"371741","LOVE'S 366 - PA #366 DC1","PA","40.449966","-76.515124","ChargePoint Network","NEVI"
"371744","LOVE'S 366 - PA #366 DC2","PA","40.45004","-76.515119","ChargePoint Network","NEVI"
"371850","Pilot Travel Center 449","OH","40.0584392","-81.0516427","eVgo Network","NEVI"
"371898","Flying J 699","OH","39.942384","-82.599217","eVgo Network","NEVI"
"372029","EVolve NY Lewis","NY","44.28161","-73.53813","Electrify America","NEVI"
"372033","Shoppes on Bluebell - New Philadelphia","OH","40.4926634","-81.4718826","FCN","NEVI"
"372034","Best Western - Zanesville","OH","39.9659167","-81.8991822","FCN","NEVI"
"372118","Pilot Travel Center 9","OH","39.54207","-84.29126","eVgo Network","NEVI"
"372119","Pilot Travel Center 309","OH","39.73777","-81.52811","eVgo Network","NEVI"
"372496","The Lunch Box - Happy","TX","34.74694588917921","-101.8487219230427","SWTCH","NEVI"
"372832","LOVE'S 731 - PA #731 DC2","PA","41.036329","-80.128398","ChargePoint Network","NEVI"
"372835","LOVE'S 731 - PA #731 DC1","PA","41.036284","-80.128319","ChargePoint Network","NEVI"
"372951","Gainesville, TX - Tesla Supercharger","TX","33.634777","-97.154815","Tesla","NEVI"
"374263","EVolve NY Horseheads","NY","42.15816","-76.8266","Electrify America","NEVI"
"374350","Kwik Trip #110","WI","46.5819926","-90.9048639","KWIK_CHARGE","NEVI"
"374351","Kwik Trip #593","WI","44.903619","-91.933938","KWIK_CHARGE","NEVI"
"374353","Kwik Trip #1267","WI","44.922134","-91.369145","KWIK_CHARGE","NEVI"
"374480","Flying J 698","OH","39.646085","-83.537722","eVgo Network","NEVI"
"374599","Flying J 774","UT","41.9631166","-112.7107049","eVgo Network","NEVI"
"374772","EVolve NY Jamestown","NY","42.11366","-79.21091","Electrify America","NEVI"
"374773","EVolve NY Westfield","NY","42.34079","-79.59603","Electrify America","NEVI"
"374982","Cotulla, TX - Tesla Supercharger","TX","28.445995","-99.243522","Tesla","NEVI"
"375553","Belden Park Crossings","OH","40.8622333","-81.433564","eVgo Network","NEVI"
"375806","EVolve NY Pulaski","NY","43.56641","-76.11468","Electrify America","NEVI"
"375836","Frisco, CO - Summit Boulevard - Tesla Supercharger","CO","39.591149","-106.096934","Tesla","NEVI"
"376662","EVolve NY Saugerties","NY","42.08412","-73.96876","Electrify America","NEVI"
"377513","EVolve NY Katonah","NY","41.25582","-73.68329","Electrify America","NEVI"
"377574","Chambersburg Square","PA","39.9396098","-77.629143","FCN","NEVI"
"383745","Pilot Travel Center 4651","VA","36.6065802","-77.5602553","eVgo Network","NEVI"
"384166","Electric Era Charging Station","NM","32.2386703","-107.4091339","ELECTRIC_ERA","NEVI"
"384665","Sheetz #263 - Carlisle","PA","40.1906963","-77.2413122","FCN","NEVI"
"384853","Flying J 710","PA","41.824803","-75.682862","eVgo Network","NEVI"
"387120","RMP Ivie Creek (Salina, UT)","UT","38.7547","-111.4185","Electrify America","NEVI"
"387583","RMP Davis (Layton, UT)","UT","41.08501","-111.97937","Electrify America","NEVI"
"387743","Flying J 709","PA","41.027928","-77.523125","eVgo Network","NEVI"
"388234","Kwik Fill - Kylertown","PA","40.9908994","-78.1685123","FCN","NEVI"
"388859","OCHO 80 - Plainview","TX","34.187694","-101.7519777","FCN","NEVI"
"389043","Flying J 658","KS","38.411625","-96.236665","eVgo Network","NEVI"
"389044","Flying J 305","NM","35.4810121","-108.4335792","eVgo Network","NEVI"
"389045","Pilot Travel Center 1110","CO","39.05569","-104.85352","eVgo Network","NEVI"
"389285","CircleK - Berea, KY","KY","37.56795","-84.30661","CIRCLE_K","NEVI"
"389840","LOVE'S 324 - PA #324 DC1","PA","41.026951","-76.318227","ChargePoint Network","NEVI"
"389841","LOVE'S 324 - PA #324 DC2","PA","41.027039","-76.318189","ChargePoint Network","NEVI"
"390286","Longmont, CO - Tesla Supercharger","CO","40.153157","-105.106909","Tesla","NEVI"
"390335","Kit Carson, CO - Tesla Supercharger","CO","38.763963","-102.790932","Tesla","NEVI"
"390509","Lordsburg, NM - Tesla Supercharger","NM","32.340654","-108.713904","Tesla","NEVI"
"390731","LOVE'S 829 - PA #829 DC1","PA","41.171187","-79.045789","ChargePoint Network","NEVI"
"390734","LOVE'S 829 - PA #829 DC2","PA","41.171142","-79.045799","ChargePoint Network","NEVI"
"390752","BW Plus Lonestar Inn - Colorado City","TX","32.4141612","-100.8594784","FCN","NEVI"
"390962","Travel Stop - Seibert","CO","39.292279","-102.875371","FCN","NEVI"
"391089","New Castle, PA - Tesla Supercharger","PA","41.01437","-80.397564","Tesla","NEVI"
"391172","Lansing, MI","MI","42.6669532","-84.5406992","RIVIAN_ADVENTURE","NEVI"
"391741","Arby's #5152 - Socorro","NM","34.045601","-106.8916509","FCN","NEVI"
"394173","EVolve NY Owego","NY","42.10215","-76.26353","Electrify America","NEVI"
"395419","Electric Era Charging Station","KY","37.282946","-83.2236968","ELECTRIC_ERA","NEVI"
"395420","Kwik Trip #1130","WI","43.006364","-89.702729","KWIK_CHARGE","NEVI"
"395480","EVolve NY Angelica","NY","42.3038","-78.01212","Electrify America","NEVI"
"395880","Summerdale, PA - Tesla Supercharger","PA","40.309976","-76.924883","Tesla","NEVI"
"397327","Pilot Travel Center 559","TX","32.2658","-101.47421","eVgo Network","NEVI"
"397535","Fort Littleton, PA - Tesla Supercharger","PA","40.052031","-77.960988","Tesla","NEVI"
"398001","Cortez, CO - Tesla Supercharger","CO","37.349684","-108.566253","Tesla","NEVI"
"398394","Electric Era Charging Station","DE","39.1100647","-75.5453244","ELECTRIC_ERA","NEVI"
"398475","Meadville, PA - Tesla Supercharger","PA","41.619602","-80.166514","Tesla","NEVI"
"400096","Pilot Travel Center 475","NM","35.01105","-106.044","eVgo Network","NEVI"
"404657","LOVE'S 418 - KY #418 DC2","KY","38.340795","-82.942249","ChargePoint Network","NEVI"
"404659","LOVE'S 418 - KY #418 DC1","KY","38.34077","-82.942325","ChargePoint Network","NEVI"
"404765","Pilot Travel Center 592 - eXtend","CO","39.11254","-108.64817","eVgo Network","NEVI"
"404836","Family Dollar - Clyde","TX","32.4126382","-99.496364","FCN","NEVI"
"405370","Flying J 621","CO","39.275484","-103.708543","eVgo Network","NEVI"
"416188","Sheetz York, powered by Electrify America","PA","39.98321","-76.72715","Electrify America","NEVI"
"416302","SureStay Plus - Montrose","CO","38.4886544","-107.862285","FCN","NEVI"
"416884","Walnut - Penn Place","PA","40.4393567","-79.766445","eVgo Network","NEVI"
"417007","RMP Coalville (Coalville, UT)","UT","40.91674","-111.3983","Electrify America","NEVI"
"417308","Maybell, CO","CO","40.51762","-108.08792","JULE","NEVI"
"417312","Sundog FastCharge","ME","44.48144","-68.87104","Non-Networked","NEVI"
"417582","EVolve NY Henrietta","NY","43.04828","-77.6581","Electrify America","NEVI"
"417684","LOVE'S 383 - KY #383 DC1","KY","38.693802","-84.938708","ChargePoint Network","NEVI"
"417687","LOVE'S 383 - KY #383 DC2","KY","38.693827","-84.938708","ChargePoint Network","NEVI"
