"afdc_id","afdc_station_name","afdc_state","afdc_ev_network","matched","match_status","ocm_poi_id","distance_miles","ocm_operator","comment_count","fault_comment_count","most_recent_comment_date","ocm_status"
"102215","Salisbury, MD - Tesla Supercharger","MD","Tesla","True","matched","40769","0.0008","Tesla (Tesla-only charging)","1","0","2017-01-29T03:11:12.783Z","Operational"
"102308","Santa Rosa, NM - Tesla Supercharger","NM","Tesla","True","matched","332392","0.0051","Tesla (including non-tesla)","0","0",,"Operational"
"102398","Somerset, PA - Tesla Supercharger","PA","Tesla","True","matched","350057","0.0016","Tesla (including non-tesla)","0","0",,"Operational"
"149287","Albert Lea, MN - Happy Trails Lane - Tesla Supercharger","MN","Tesla","True","matched","369133","0.0034","Tesla (including non-tesla)","0","0",,"Operational"
"224992","San Diego, CA - Camino De La Plaza - Tesla Supercharger","CA","Tesla","True","matched","281213","0.0028","Tesla (Tesla-only charging)","0","0",,"Operational"
"279445","EVolve NY Richmondville","NY","Electrify America","True","matched","282948","0","Electrify America","1","0","2025-11-01T17:13:57.7Z","Operational"
"311313","EMLENTON TRUCK EMLENTON PL1","PA","ChargePoint Network","True","matched","277289","0","ChargePoint","0","0",,"Operational"
"311314","EMLENTON TRUCK EMLENTON PL2","PA","ChargePoint Network","True","matched","277289","0.007","ChargePoint","0","0",,"Operational"
"316283","EVolve NY North Hudson","NY","Electrify America","True","matched","296460","0.0273","Electrify America","0","0",,"Operational"
"320464","EVolve NY Kingston","NY","Electrify America","True","matched","282781","0","Electrify America","0","0",,"Operational"
"322368","Pilot Travel Center 454","OH","eVgo Network","True","matched","294428","0.0168","eVgo Network","0","0",,"Operational"
"323404","Pilot Travel Center 370","PA","eVgo Network","True","matched","294672","0","eVgo Network","0","0",,"Operational"
"329766","Rockland, ME - Tesla Supercharger","ME","Tesla","True","matched","370961","0.0015","Tesla (including non-tesla)","0","0",,"Operational"
"329935","Maui NEVI Site #1, Kahului Park & Ride (1017-009)","HI","EV Connect","True","matched","314393","0","EV Connect","0","0",,"Operational"
"347151","RIOER NEVI DCFC 1","RI","ChargePoint Network","True","matched","358203","0.0088","ChargePoint","0","0",,"Operational"
"347154","RIOER NEVI DCFC 2","RI","ChargePoint Network","True","matched","358203","0","ChargePoint","0","0",,"Operational"
"347416","EMLENTON TRUCK EMLENTON PL3","PA","ChargePoint Network","True","matched","355936","0","ChargePoint","0","0",,"Operational"
"347668","Pilot Travel Center 455","OH","eVgo Network","True","matched","351529","0","eVgo Network","0","0",,"Operational"
"348135","RMP Moab (Moab, UT)","UT","Electrify America","True","matched","306518","0.0165","Electrify America","0","0",,"Operational"
"348926","RI OER ASHAWAY NEVIDC2","RI","ChargePoint Network","True","matched","227735","0.0047","ChargePoint","0","0",,"Operational"
"348931","RI OER ASHAWAY NEVIDC1","RI","ChargePoint Network","True","matched","227735","0.0073","ChargePoint","0","0",,"Operational"
"349147","Casey's #3535 - Cridersville","OH","FCN","True","matched","306510","0.0193","Francis Energy","0","0",,"Operational"
"349994","Dollar General - Byesville","OH","FCN","True","matched","306511","0.0101","Francis Energy","0","0",,"Operational"
"350558","Ardsley Service Area","NY","APPLEGREEN","True","matched","355168","0","Applegreen Fast Charge","0","0",,"Operational"
"354301","Pilot Travel Center 15","OH","eVgo Network","True","matched","358398","0","eVgo Network","0","0",,"Operational"
"354302","Flying J 695","OH","eVgo Network","True","matched","354520","0","eVgo Network","0","0",,"Operational"
"356066","Aston, PA - Tesla Supercharger","PA","Tesla","True","matched","306523","0.0061","Tesla (including non-tesla)","0","0",,"Operational"
"356074","CircleK - Richmond, KY","KY","CIRCLE_K","True","matched","340139","0","Circle K","0","0",,"Operational"
"357686","Augusta, ME - Civic Center Drive - Tesla Supercharger","ME","Tesla","True","matched","306521","0.0297","Tesla (including non-tesla)","0","0",,"Operational"
"360590","EVolve NY Churchville","NY","Electrify America","True","matched","306520","0.0181","Electrify America","0","0",,"Operational"
"361200","Oahu NEVI Site #1, Aloha Tower (1017-011)","HI","EV Connect","True","matched","314503","0","EV Connect","0","0",,"Operational"
